<log creation> 21/10/2024 - 14:04:26
<information> 21/10/2024 - 14:04:26 | Iniciando o servidor da API
<information> 21/10/2024 - 14:04:26 | 0 -> x; grupo; y; momento_registro
<information> 21/10/2024 - 14:04:26 | 1 -> 2.709086300757035; B; 1.5415408096028922; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 2 -> 1.3797066534125688; C; 0.3943183534176915; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 3 -> 6.946879635029356; B; -14.439259223149424; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 4 -> 1.4378201802743549; C; 1.468125653590969; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 5 -> 5.711967071543877; C; -4.544945522104427; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 6 -> 8.603574383668064; B; -12.836611613592288; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 7 -> 7.077883664409258; A; -14.40972040064954; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 8 -> 1.0610998673800527; A; -1.4897396016003528; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 9 -> 7.888187677026597; A; -14.99249929573886; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 10 -> 6.787617482884231; C; -7.6829521036616475; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 11 -> 2.6158018571464443; C; -3.4427410325587604; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 12 -> 4.479085294183759; C; -7.4553373799404135; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 13 -> 1.9502744324857706; B; -0.2252673667710833; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 14 -> -0.012668729801093903; B; 4.817974627704878; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 15 -> -1.739852316377517; A; 4.626711102116925; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 16 -> 3.323955350864004; C; 0.8571937205466087; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 17 -> 7.505323424899834; C; -9.425478002904196; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 18 -> 3.9023080317277987; C; -4.448799551228825; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 19 -> 4.551236548863307; B; -2.848675837986914; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 20 -> 3.7686866684249924; A; -5.280681000594214; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 21 -> 4.059832050331774; B; -3.8275212397655816; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 22 -> 5.428341899872225; B; -9.132915308379344; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 23 -> 6.415811103916117; A; -10.357217254470704; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 24 -> 2.598148719417421; B; -4.124285780087014; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 25 -> 6.539008860390988; C; -10.187542391829947; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | Iniciando o modelo de regressão linear
<information> 21/10/2024 - 14:04:26 | Modelo de regressão iniciado
<action> 21/10/2024 - 14:04:26 | connecting to the log
<information> 21/10/2024 - 14:04:26 | Iniciando o servidor da API
<information> 21/10/2024 - 14:04:26 | 0 -> x; grupo; y; momento_registro
<information> 21/10/2024 - 14:04:26 | 1 -> 2.709086300757035; B; 1.5415408096028922; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 2 -> 1.3797066534125688; C; 0.3943183534176915; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 3 -> 6.946879635029356; B; -14.439259223149424; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 4 -> 1.4378201802743549; C; 1.468125653590969; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 5 -> 5.711967071543877; C; -4.544945522104427; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 6 -> 8.603574383668064; B; -12.836611613592288; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 7 -> 7.077883664409258; A; -14.40972040064954; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 8 -> 1.0610998673800527; A; -1.4897396016003528; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 9 -> 7.888187677026597; A; -14.99249929573886; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 10 -> 6.787617482884231; C; -7.6829521036616475; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 11 -> 2.6158018571464443; C; -3.4427410325587604; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 12 -> 4.479085294183759; C; -7.4553373799404135; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 13 -> 1.9502744324857706; B; -0.2252673667710833; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 14 -> -0.012668729801093903; B; 4.817974627704878; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 15 -> -1.739852316377517; A; 4.626711102116925; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 16 -> 3.323955350864004; C; 0.8571937205466087; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 17 -> 7.505323424899834; C; -9.425478002904196; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 18 -> 3.9023080317277987; C; -4.448799551228825; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 19 -> 4.551236548863307; B; -2.848675837986914; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 20 -> 3.7686866684249924; A; -5.280681000594214; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 21 -> 4.059832050331774; B; -3.8275212397655816; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 22 -> 5.428341899872225; B; -9.132915308379344; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 23 -> 6.415811103916117; A; -10.357217254470704; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 24 -> 2.598148719417421; B; -4.124285780087014; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | 25 -> 6.539008860390988; C; -10.187542391829947; 2024-10-21 14:4:14
<information> 21/10/2024 - 14:04:26 | Iniciando o modelo de regressão linear
<information> 21/10/2024 - 14:04:26 | Modelo de regressão iniciado
<information> 21/10/2024 - 14:04:31 | 127.0.0.1 na tela inicial
<information> 21/10/2024 - 14:05:44 | Requisição de 127.0.0.1 para vizualização dos dados
<information> 21/10/2024 - 14:06:05 | Requisição de gráfico por 127.0.0.1
<information> 21/10/2024 - 14:06:11 | Requisição de 127.0.0.1 para vizualização dos dados
